,activation_fn,batch_size,epochs,input_dimensions,num_neurons_1,num_neurons_2,optimizer_fn,mean_test_score,std_test_score,mean_fit_time
0,tanh,8,5,"(62,)",20,20,adam,1.2407163373080732,0.004607438411853411,25.43954626719157
1,tanh,8,5,"(62,)",20,20,sgd,1.2492708570431492,0.008419797660873161,22.397282520929974
2,tanh,8,5,"(62,)",20,50,adam,1.248559587735221,0.008833186080518127,25.236645698547363
3,tanh,8,5,"(62,)",20,50,sgd,1.2505271846393742,0.004860224952953329,23.799681345621746
4,tanh,8,5,"(62,)",50,20,adam,1.2399394213508401,0.0044973989526704405,24.345768451690674
5,tanh,8,5,"(62,)",50,20,sgd,1.2457510563409362,0.004550682429451074,21.864143927892048
6,tanh,8,5,"(62,)",50,50,adam,1.2456331428095027,0.0019225796440477574,25.369774341583252
7,tanh,8,5,"(62,)",50,50,sgd,1.2548433897474869,0.006337966720136816,23.323410511016846
8,tanh,8,5,"(62,)",100,20,adam,1.237990690417377,0.0038905866379119448,25.159351984659832
9,tanh,8,5,"(62,)",100,20,sgd,1.2509010469308228,0.0031799059115439877,22.756694793701172
10,tanh,8,5,"(62,)",100,50,adam,1.2430405756773413,0.007621931208310708,31.440110683441162
11,tanh,8,5,"(62,)",100,50,sgd,1.25496136495519,0.01550949098183116,22.723015864690144
12,tanh,32,5,"(62,)",20,20,adam,1.2470855594105115,0.0045928783138241445,6.280080000559489
13,tanh,32,5,"(62,)",20,20,sgd,1.2554973690698643,0.0029639267675066207,6.055667400360107
14,tanh,32,5,"(62,)",20,50,adam,1.2471082722822489,0.003014912042243857,7.386942545572917
15,tanh,32,5,"(62,)",20,50,sgd,1.255058198080054,0.0049097187126579496,6.470011075337728
16,tanh,32,5,"(62,)",50,20,adam,1.2443566439609457,0.005658699904855337,8.03597116470337
17,tanh,32,5,"(62,)",50,20,sgd,1.2545470012895379,0.0027393437634008963,6.889975070953369
18,tanh,32,5,"(62,)",50,50,adam,1.2443017079522056,0.0006562896031531679,8.730865557988485
19,tanh,32,5,"(62,)",50,50,sgd,1.2539158442339144,0.004280928585519358,12.242279291152954
20,tanh,32,5,"(62,)",100,20,adam,1.2419179121205999,0.004074927324625169,13.28392243385315
21,tanh,32,5,"(62,)",100,20,sgd,1.2528564225102445,0.0047490052430636765,11.22585940361023
22,tanh,32,5,"(62,)",100,50,adam,1.2439666627266954,0.007514256963749708,10.637592713038126
23,tanh,32,5,"(62,)",100,50,sgd,1.2545658268568427,0.0017669522967630965,12.539470275243124
24,softplus,8,5,"(62,)",20,20,adam,1.2594215698809552,0.01660669507821371,41.331376473108925
25,softplus,8,5,"(62,)",20,20,sgd,1.2592746410136222,0.00018471421509294765,37.30798681577047
26,softplus,8,5,"(62,)",20,50,adam,1.2498304131325322,0.0029263503174451633,45.208362658818565
27,softplus,8,5,"(62,)",20,50,sgd,1.2550100819956433,0.0045091340055534125,41.16443165143331
28,softplus,8,5,"(62,)",50,20,adam,1.277206337311643,0.03120965280785994,42.93012475967407
29,softplus,8,5,"(62,)",50,20,sgd,1.2744880720481369,0.02284625975623294,39.9521156946818
30,softplus,8,5,"(62,)",50,50,adam,1.2489585540935322,0.001751966088017311,55.27135316530863
31,softplus,8,5,"(62,)",50,50,sgd,1.2719873994819377,0.006660147200612761,39.72764913241068
32,softplus,8,5,"(62,)",100,20,adam,1.248765414015769,0.0033914123765826677,46.87105735143026
33,softplus,8,5,"(62,)",100,20,sgd,1.2714432228887087,0.013110059479475543,47.552239974339805
34,softplus,8,5,"(62,)",100,50,adam,1.2729358121058552,0.03573463858841068,42.800446112950645
35,softplus,8,5,"(62,)",100,50,sgd,1.2914440349452228,0.03365325125761188,31.096961895624798
36,softplus,32,5,"(62,)",20,20,adam,1.2536389030453157,0.006913164699586345,8.932652791341146
37,softplus,32,5,"(62,)",20,20,sgd,1.263777552531786,0.002120414876182522,7.827942848205566
38,softplus,32,5,"(62,)",20,50,adam,1.260873950213533,0.006907708682178877,7.515246868133545
39,softplus,32,5,"(62,)",20,50,sgd,1.2653428424755735,0.005524781928180272,6.999626159667969
40,softplus,32,5,"(62,)",50,20,adam,1.2563979535900531,0.008456810169082259,7.957182248433431
41,softplus,32,5,"(62,)",50,20,sgd,1.2569173337095396,0.003231611207169972,7.205393552780151
42,softplus,32,5,"(62,)",50,50,adam,1.2543050761578953,0.008705810849983108,8.470727364222208
43,softplus,32,5,"(62,)",50,50,sgd,1.2587723908505315,0.0077552686844060935,7.217438459396362
44,softplus,32,5,"(62,)",100,20,adam,1.2688045343935412,0.02660583831298249,8.866504192352295
45,softplus,32,5,"(62,)",100,20,sgd,1.2552500910551945,0.005217885966890971,7.09956971804301
46,softplus,32,5,"(62,)",100,50,adam,1.2556212834877627,0.009762784894097123,8.975602547327677
47,softplus,32,5,"(62,)",100,50,sgd,1.2605951284783912,0.008067251702747504,7.048251708348592
48,relu,8,5,"(62,)",20,20,adam,1.2515720781561104,0.003970646730131726,25.42240794499715
49,relu,8,5,"(62,)",20,20,sgd,1.2726103186769968,0.030402928377497772,22.44115138053894
50,relu,8,5,"(62,)",20,50,adam,1.2589705314420099,0.012070797396134912,24.37239917119344
51,relu,8,5,"(62,)",20,50,sgd,1.2750837806176196,0.005099368223268859,21.73958706855774
52,relu,8,5,"(62,)",50,20,adam,1.2591007561486647,0.011422794927996853,25.05539806683858
53,relu,8,5,"(62,)",50,20,sgd,1.2791468853903503,0.03754714831321556,21.883339564005535
54,relu,8,5,"(62,)",50,50,adam,1.286406655939303,0.015141677992629747,24.861401240030926
55,relu,8,5,"(62,)",50,50,sgd,1.259389724822465,0.020461077217596397,22.078627745310467
56,relu,8,5,"(62,)",100,20,adam,1.2646176133283658,0.010200823491102967,25.829992214838665
57,relu,8,5,"(62,)",100,20,sgd,1.2821406625288636,0.0368689712547963,20.765374898910522
58,relu,8,5,"(62,)",100,50,adam,1.2561454205920375,0.007685887367596988,27.136226892471313
59,relu,8,5,"(62,)",100,50,sgd,1.2849992979841296,0.04626589985904043,21.972893953323364
60,relu,32,5,"(62,)",20,20,adam,1.2624783878862098,0.008590986121168289,7.0576558113098145
61,relu,32,5,"(62,)",20,20,sgd,1.2656909590654972,0.00998192652864274,7.226755777994792
62,relu,32,5,"(62,)",20,50,adam,1.2764890581389825,0.01999830569567915,7.926175355911255
63,relu,32,5,"(62,)",20,50,sgd,1.2657827435670932,0.005077865379136226,6.251959800720215
64,relu,32,5,"(62,)",50,20,adam,1.2606245801689395,0.008441997362270344,6.6992034912109375
65,relu,32,5,"(62,)",50,20,sgd,1.2641565338763394,0.0065814744899722315,6.15882150332133
66,relu,32,5,"(62,)",50,50,adam,1.2585583632207082,0.007050540767033915,6.682692845662435
67,relu,32,5,"(62,)",50,50,sgd,1.2657736341804673,0.011928597511100578,6.440601030985515
68,relu,32,5,"(62,)",100,20,adam,1.2581931886698012,0.005565891713763367,7.14632773399353
69,relu,32,5,"(62,)",100,20,sgd,1.255459842812807,0.002322294930293475,6.261910597483317
70,relu,32,5,"(62,)",100,50,adam,1.276639222578938,0.005529644546158799,7.20106307665507
71,relu,32,5,"(62,)",100,50,sgd,1.255040355023177,0.001981750797854411,6.467854022979736
